sample,rep,dose,fc,λ̂,λ,cell_count_day_3
Vector Control,3,30.0,0.2249,-0.49736647333895573,-0.2486531033837009,0.47427910088035186
Vector Control,4,30.0,0.2478,-0.46504443659569833,-0.2163310666404435,0.5225716371638559
V600E,1,30.0,0.785,-0.08069052039990952,0.1680228495553453,1.655442837665968
V600E,2,30.0,0.8111,-0.06978797596861265,0.1789253939866422,1.7104836759628876
V600E,3,30.0,0.7256,-0.10691879339373672,0.14179457656151812,1.5301774815419444
V600E,4,30.0,0.8153,-0.0680663784377573,0.18064699151749752,1.7193408223554951
Week 1,1,30.0,1.0314,0.010305700878240537,0.2590190708334954,2.1750620926989552
Week 1,2,30.0,1.0318,0.010434949942804176,0.25914831989805903,2.175905630450632
Week 1,3,30.0,0.9442,-0.01913909028998355,0.22957427966527127,1.9911708628333846
Week 1,4,30.0,0.9927,-0.0024422584621536184,0.2462711114931012,2.0934498152242123
Week 2 C,1,30.0,0.8123,-0.06929518297507628,0.17941818698017856,1.7130142892179183
Week 2 C,2,30.0,0.8202,-0.06606902200805938,0.18264434794719547,1.7296741598135377
Week 2 C,3,30.0,0.846,-0.055745306458637935,0.1929680634966169,1.7840823447966994
Week 2 C,4,30.0,0.8533,-0.05288136447986599,0.19583200547538884,1.799476908764803
Week 3 C,1,30.0,0.8754,-0.04435811807511405,0.20435525188014078,1.8460823695449533
Week 3 C,2,30.0,1.0872,0.027868527951598953,0.2765818979068538,2.292735609057886
Week 3 C,3,30.0,0.9676,-0.010978833415421616,0.23773453653983323,2.040517821306485
Week 3 C,4,30.0,0.9828,-0.005783212778370998,0.24293015717688385,2.072572255870208
Week 4 C,1,30.0,0.9254,-0.02584306750307928,0.22287030245217557,1.9515245885045693
Week 4 C,2,30.0,0.8041,-0.07267721314267787,0.17603615681257695,1.6957217653085412
Week 4 C,3,30.0,0.8721,-0.04561706091639905,0.20309630903885578,1.8391231830936188
Week 4 C,4,30.0,0.89,-0.0388446054186505,0.20986876453660433,1.8768714974811613
Week 2 I,1,30.0,0.9065,-0.032721416262410444,0.2159919536928444,1.9116674297378344
Week 2 I,2,30.0,1.0813,0.026054673656451432,0.27476804361170626,2.280293427220651
Week 2 I,3,30.0,0.9861,-0.0046658365479512205,0.24404753340730362,2.0795314423215427
Week 2 I,4,30.0,1.0261,0.008588402628675475,0.25730177258393033,2.1638852174892356
Week 3 I,1,30.0,0.9094,-0.03165674586374229,0.21705662409151255,1.917783078437492
Week 3 I,2,30.0,1.0879,0.028083077481633332,0.2767964474368882,2.2942118001233207
Week 3 I,3,30.0,1.0262,0.00862088650857579,0.2573342564638306,2.164096101927155
Week 3 I,4,30.0,0.9765,-0.007926842888467798,0.24078652706678705,2.059286536281297
Week 4 I,1,30.0,0.9728,-0.009192255923411498,0.23952111403184334,2.051483812078285
Week 4 I,2,30.0,0.9646,-0.012013923782421845,0.236699446172833,2.034191288168908
Week 4 I,3,30.0,0.9144,-0.029829055500512056,0.21888431445474277,1.9283273003334536
Week 4 I,4,30.0,0.9262,-0.025555028311828477,0.22315834164342635,1.953211664007923
Vector Control,1,100.0,0.1874,-0.5581699697259385,-0.3094565997706836,0.39519743666063994
Vector Control,2,100.0,0.1877,-0.5576367784632247,-0.30892340850796984,0.39583008997439767
Vector Control,3,100.0,0.1778,-0.5756986519674442,-0.32698528201218935,0.3749525306203939
Vector Control,4,100.0,0.1744,-0.582134589169086,-0.33342121921383117,0.36778245973113977
V600E,1,100.0,0.5573,-0.19488386146888212,0.05382950848637272,1.1752589725238778
V600E,2,100.0,0.594,-0.17362531987316407,0.07508805008209077,1.2526535612402356
V600E,3,100.0,0.5911,-0.17525669038393776,0.07345667957131707,1.246537912540578
V600E,4,100.0,0.5579,-0.19452518137688482,0.05418818857837002,1.176524279151393
Week 1,1,100.0,1.0489,0.015913998661807035,0.2646273686170619,2.21196686933482
Week 1,2,100.0,1.0025,0.0008322933995290486,0.2495456633547839,2.114116490140297
Week 1,3,100.0,0.9019,-0.034417209936824844,0.21429616001843,1.9019667455935498
Week 1,4,100.0,0.848,-0.05495821439674467,0.19375515555851017,1.7883000335550838
Week 2 C,1,100.0,1.084,0.026885967672484846,0.2755993376277397,2.2859873070444707
