sample,rep,day,treatment,dose,log_dose,fc,growth_rate_unnormalised,growth_rate
Week 3 C,3,21,continuous,3,1.09861228866811,0.866,-0.0479567901399006,0.157421415732865
Week 3 C,4,21,continuous,3,1.09861228866811,0.9171,-0.0288462538057462,0.17653195206702
Week 4 C,1,28,continuous,3,1.09861228866811,0.8298,-0.0621901903611232,0.143188015511643
Week 4 C,2,28,continuous,3,1.09861228866811,0.8493,-0.0544475993987245,0.150930606474042
Week 4 C,3,28,continuous,3,1.09861228866811,0.781,-0.082393376380817,0.122984829491949
Week 4 C,4,28,continuous,3,1.09861228866811,0.7543,-0.0939883707075173,0.111389835165249
Week 2 I,1,14,intermittent,3,1.09861228866811,0.7698,-0.0872081793774971,0.118170026495269
Week 2 I,2,14,intermittent,3,1.09861228866811,1.0481,0.0156596670646649,0.221037872937431
Week 2 I,3,14,intermittent,3,1.09861228866811,0.987,-0.00436174651621849,0.201016459356548
Week 2 I,4,14,intermittent,3,1.09861228866811,0.9468,-0.0182224671141027,0.187155738758663
Week 3 I,1,21,intermittent,3,1.09861228866811,0.786,-0.0802661621843102,0.125112043688456
Week 3 I,2,21,intermittent,3,1.09861228866811,0.9148,-0.029683272277837,0.175694933594929
Week 3 I,3,21,intermittent,3,1.09861228866811,0.8708,-0.0461143165405815,0.159263889332184
Week 3 I,4,21,intermittent,3,1.09861228866811,0.7891,-0.0789540744850492,0.126424131387717
Week 4 I,1,28,intermittent,3,1.09861228866811,0.871,-0.0460377673765448,0.159340438496221
Week 4 I,2,28,intermittent,3,1.09861228866811,0.6805,-0.128309152296872,0.0770690535758939
Week 4 I,3,28,intermittent,3,1.09861228866811,0.9212,-0.0273593703452023,0.178018835527564
Week 4 I,4,28,intermittent,3,1.09861228866811,0.835,-0.0601078513770939,0.145270354495672
V600E,1,0,nil,10,2.30258509299405,0.9939,-0.00203956033605906,0.203338645536707
V600E,2,0,nil,10,2.30258509299405,1.0077,0.00255683543473991,0.207935041307506
V600E,3,0,nil,10,2.30258509299405,0.9889,-0.00372068823539731,0.201657517637369
V600E,4,0,nil,10,2.30258509299405,0.9576,-0.0144417082461246,0.190936497626641
Week 1,1,7,continuous,10,2.30258509299405,0.8563,-0.0517114989833302,0.153666706889436
Week 1,2,7,continuous,10,2.30258509299405,0.8445,-0.0563368475780941,0.149041358294672
Week 1,3,7,continuous,10,2.30258509299405,0.7067,-0.115716343761776,0.0896618621109899
